timestamp,USDJPY,EURUSD
1697196214.4273894,0.0,0.0
1697196274.4318218,0.0,0.0
1697196334.4431703,0.0,0.0
1697196394.4485788,0.0,0.0
1697196454.4633348,0.0,0.0
1697196514.4660287,0.0,0.0
1697196574.4689896,0.0,0.0
1697196634.4694753,0.0,0.0
1697196694.4836435,0.0,0.0
1697196754.4944012,0.0,0.0
1697196814.4967198,0.0,0.0
1697196874.50122,0.0,0.0
1697196934.5020435,0.0,0.0
1697196994.506012,0.0,0.0
1697197054.514643,0.0,0.0
1697197114.5273037,0.0,0.0
1697197174.53247,0.0,0.0
1697197234.5473847,0.0,0.0
1697197294.5505588,0.0,0.0
1697197354.5517714,0.0,0.0
1697197414.552567,0.0,0.0
1697197474.5560787,0.0,0.0
1697197534.5573587,0.0,0.0
1697197594.5617528,0.0,0.0
1697197654.5656822,0.0,0.0
1697197714.5783722,0.0,0.0
1697197774.5928414,0.0,0.0
1697197834.6043985,0.0,0.0
1697197894.6109796,0.0,0.0
1697197954.6210601,0.0,0.0
1697198014.6339478,0.0,0.0
1697198074.6486764,0.0,0.0
1697198134.6526756,0.0,0.0
1697198194.6604657,0.0,0.0
1697198254.6633732,0.0,0.0
1697198314.6681328,0.0,0.0
1697198374.6781516,0.0,0.0
1697198434.689423,0.0,0.0
1697198494.6908872,0.0,0.0
1697198554.7047107,149.621,1.05248
1697198614.7091057,149.615,1.05254
1697198674.7213972,149.601,1.05265
1697198734.7303913,149.588,1.05275
1697198794.7411342,149.6,1.05254
1697198854.7526069,0.0,0.0
1697198914.7643008,0.0,0.0
1697198974.7740207,0.0,0.0
1697199034.7866123,0.0,0.0
1697199094.8003685,0.0,0.0
1697199154.810553,0.0,0.0
1697199214.8234546,0.0,0.0
1697199274.8382359,0.0,0.0
1697199334.8400564,0.0,0.0
1697199394.8450532,0.0,0.0
1697199454.8563373,0.0,0.0
1697199514.8721306,0.0,0.0
1697199574.8785276,0.0,0.0
1697199634.886247,0.0,0.0
1697199694.9025552,0.0,0.0
1697199754.9161339,0.0,0.0
1697199814.9239516,0.0,0.0
1697199874.9253936,0.0,0.0
1697199934.9344747,0.0,0.0
1697199994.9355178,0.0,0.0
1697200054.9373436,0.0,0.0
1697200114.9496343,0.0,0.0
1697200174.9513385,0.0,0.0
1697200234.9670007,0.0,0.0
1697200294.9823353,0.0,0.0
1697200354.9825597,0.0,0.0
1697200414.9938948,0.0,0.0
1697200475.0081172,0.0,0.0
1697200535.0180035,0.0,0.0
1697200595.0289288,0.0,0.0
1697200655.0404727,0.0,0.0
1697200715.049382,0.0,0.0
1697200775.0581112,0.0,0.0
1697200835.0710888,0.0,0.0
1697200895.082718,0.0,0.0
1697200955.0925102,0.0,0.0
1697201015.0977433,0.0,0.0
1697201075.106995,0.0,0.0
1697201135.1201713,0.0,0.0
1697201195.1261368,0.0,0.0
1697201255.1406093,0.0,0.0
1697201315.153179,0.0,0.0
1697201375.158085,0.0,0.0
1697201435.1682954,0.0,0.0
1697201495.171409,0.0,0.0
